"Step","MIFL - test_acc5","MIFL - test_acc5__MIN","MIFL - test_acc5__MAX","Missing-modal FedAvg - test_acc5","Missing-modal FedAvg - test_acc5__MIN","Missing-modal FedAvg - test_acc5__MAX","FedMSplit - test_acc5","FedMSplit - test_acc5__MIN","FedMSplit - test_acc5__MAX","FedAvg - test_acc5","FedAvg - test_acc5__MIN","FedAvg - test_acc5__MAX"
"87","0.776","0.776","0.776","0.7629255989911727","0.7629255989911727","0.7629255989911727","0.74","0.74","0.74","0.716","0.716","0.716"
"88","0.784","0.784","0.784","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.734","0.734","0.734","0.71","0.71","0.71"
"89","0.756","0.756","0.756","0.7629255989911727","0.7629255989911727","0.7629255989911727","0.744","0.744","0.744","0.738","0.738","0.738"
"90","0.778","0.778","0.778","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.718","0.718","0.718","0.722","0.722","0.722"
"91","0.78","0.78","0.78","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.728","0.728","0.728","0.714","0.714","0.714"
"92","0.762","0.762","0.762","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.724","0.724","0.724","0.72","0.72","0.72"
"93","0.738","0.738","0.738","0.7793190416141236","0.7793190416141236","0.7793190416141236","0.74","0.74","0.74","0.724","0.724","0.724"
"94","0.764","0.764","0.764","0.7793190416141236","0.7793190416141236","0.7793190416141236","0.712","0.712","0.712","0.74","0.74","0.74"
"95","0.772","0.772","0.772","0.755359394703657","0.755359394703657","0.755359394703657","0.734","0.734","0.734","0.72","0.72","0.72"
"96","0.796","0.796","0.796","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.724","0.724","0.724","0.712","0.712","0.712"
"97","0.766","0.766","0.766","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.738","0.738","0.738","0.724","0.724","0.724"
"98","0.758","0.758","0.758","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.736","0.736","0.736","0.722","0.722","0.722"
"99","0.76","0.76","0.76","0.7503152585119798","0.7503152585119798","0.7503152585119798","0.724","0.724","0.724","0.722","0.722","0.722"
"100","0.784","0.784","0.784","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.734","0.734","0.734","0.718","0.718","0.718"
"101","0.75","0.75","0.75","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.744","0.744","0.744","0.718","0.718","0.718"
"102","0.788","0.788","0.788","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.724","0.724","0.724","0.726","0.726","0.726"
"103","0.766","0.766","0.766","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.738","0.738","0.738","0.712","0.712","0.712"
"104","0.782","0.782","0.782","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.724","0.724","0.724","0.726","0.726","0.726"
"105","0.766","0.766","0.766","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.72","0.72","0.72","0.728","0.728","0.728"
"106","0.742","0.742","0.742","0.7818411097099621","0.7818411097099621","0.7818411097099621","0.728","0.728","0.728","0.712","0.712","0.712"
"107","0.776","0.776","0.776","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.736","0.736","0.736","0.73","0.73","0.73"
"108","0.742","0.742","0.742","0.7868852459016393","0.7868852459016393","0.7868852459016393","0.738","0.738","0.738","0.714","0.714","0.714"
"109","0.766","0.766","0.766","0.7793190416141236","0.7793190416141236","0.7793190416141236","0.724","0.724","0.724","0.728","0.728","0.728"
"110","0.77","0.77","0.77","0.7755359394703657","0.7755359394703657","0.7755359394703657","0.72","0.72","0.72","0.732","0.732","0.732"
"111","0.768","0.768","0.768","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.732","0.732","0.732","0.716","0.716","0.716"
"112","0.766","0.766","0.766","0.7793190416141236","0.7793190416141236","0.7793190416141236","0.742","0.742","0.742","0.736","0.736","0.736"
"113","0.764","0.764","0.764","0.776796973518285","0.776796973518285","0.776796973518285","0.728","0.728","0.728","0.716","0.716","0.716"
"114","0.776","0.776","0.776","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.736","0.736","0.736","0.722","0.722","0.722"
"115","0.784","0.784","0.784","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.724","0.724","0.724","0.694","0.694","0.694"
