Step,full_modal - test_acc,full_modal - test_acc__MIN,full_modal - test_acc__MAX
262,0.765447667,0.765447667,0.765447667
263,0.786885246,0.786885246,0.786885246
264,0.786885246,0.786885246,0.786885246
265,0.778058008,0.778058008,0.778058008
266,0.764186633,0.764186633,0.764186633
267,0.771752837,0.771752837,0.771752837
268,0.780580076,0.780580076,0.780580076
269,0.771752837,0.771752837,0.771752837
270,0.780580076,0.780580076,0.780580076
271,0.774274905,0.774274905,0.774274905
272,0.783102144,0.783102144,0.783102144
273,0.780580076,0.780580076,0.780580076
274,0.761664565,0.761664565,0.761664565
275,0.786885246,0.786885246,0.786885246
276,0.784363178,0.784363178,0.784363178
277,0.774274905,0.774274905,0.774274905
278,0.760403531,0.760403531,0.760403531
279,0.786885246,0.786885246,0.786885246
280,0.770491803,0.770491803,0.770491803
281,0.778058008,0.778058008,0.778058008
282,0.762925599,0.762925599,0.762925599
283,0.78184111,0.78184111,0.78184111
284,0.784363178,0.784363178,0.784363178
285,0.786885246,0.786885246,0.786885246
286,0.780580076,0.780580076,0.780580076
287,0.780580076,0.780580076,0.780580076
288,0.773013871,0.773013871,0.773013871
289,0.779319042,0.779319042,0.779319042
290,0.773013871,0.773013871,0.773013871
291,0.761664565,0.761664565,0.761664565
292,0.785624212,0.785624212,0.785624212
293,0.785624212,0.785624212,0.785624212
294,0.780580076,0.780580076,0.780580076
295,0.78184111,0.78184111,0.78184111
296,0.766708701,0.766708701,0.766708701
297,0.769230769,0.769230769,0.769230769
298,0.776796974,0.776796974,0.776796974
299,0.802017654,0.802017654,0.802017654
300,0.775535939,0.775535939,0.775535939
301,0.773013871,0.773013871,0.773013871
302,0.783102144,0.783102144,0.783102144
303,0.770491803,0.770491803,0.770491803
304,0.774274905,0.774274905,0.774274905
305,0.771752837,0.771752837,0.771752837
306,0.773013871,0.773013871,0.773013871
307,0.780580076,0.780580076,0.780580076
308,0.773013871,0.773013871,0.773013871
309,0.770491803,0.770491803,0.770491803
310,0.764186633,0.764186633,0.764186633
311,0.775535939,0.775535939,0.775535939
312,0.78814628,0.78814628,0.78814628
313,0.769230769,0.769230769,0.769230769
314,0.771752837,0.771752837,0.771752837
315,0.775535939,0.775535939,0.775535939
316,0.779319042,0.779319042,0.779319042
317,0.784363178,0.784363178,0.784363178
318,0.771752837,0.771752837,0.771752837
319,0.779319042,0.779319042,0.779319042
320,0.766708701,0.766708701,0.766708701
321,0.766708701,0.766708701,0.766708701
322,0.775535939,0.775535939,0.775535939
323,0.766708701,0.766708701,0.766708701
324,0.779319042,0.779319042,0.779319042
325,0.775535939,0.775535939,0.775535939
326,0.778058008,0.778058008,0.778058008
327,0.775535939,0.775535939,0.775535939
328,0.779319042,0.779319042,0.779319042
329,0.791929382,0.791929382,0.791929382
330,0.764186633,0.764186633,0.764186633
331,0.757881463,0.757881463,0.757881463
332,0.779319042,0.779319042,0.779319042
333,0.780580076,0.780580076,0.780580076
334,0.793190416,0.793190416,0.793190416
335,0.774274905,0.774274905,0.774274905
336,0.767969735,0.767969735,0.767969735
337,0.780580076,0.780580076,0.780580076
338,0.766708701,0.766708701,0.766708701
339,0.783102144,0.783102144,0.783102144
340,0.773013871,0.773013871,0.773013871
341,0.771752837,0.771752837,0.771752837
342,0.762925599,0.762925599,0.762925599
343,0.780580076,0.780580076,0.780580076
344,0.759142497,0.759142497,0.759142497
345,0.764186633,0.764186633,0.764186633
346,0.776796974,0.776796974,0.776796974
347,0.776796974,0.776796974,0.776796974
348,0.775535939,0.775535939,0.775535939
349,0.773013871,0.773013871,0.773013871
350,0.761664565,0.761664565,0.761664565
351,0.785624212,0.785624212,0.785624212
352,0.778058008,0.778058008,0.778058008
353,0.78184111,0.78184111,0.78184111
354,0.779319042,0.779319042,0.779319042
355,0.785624212,0.785624212,0.785624212
356,0.765447667,0.765447667,0.765447667
357,0.78814628,0.78814628,0.78814628
358,0.784363178,0.784363178,0.784363178
359,0.78184111,0.78184111,0.78184111
360,0.783102144,0.783102144,0.783102144
361,0.771752837,0.771752837,0.771752837
362,0.783102144,0.783102144,0.783102144
363,0.770491803,0.770491803,0.770491803
364,0.771752837,0.771752837,0.771752837
365,0.770491803,0.770491803,0.770491803
366,0.779319042,0.779319042,0.779319042
367,0.786885246,0.786885246,0.786885246
368,0.785624212,0.785624212,0.785624212
369,0.773013871,0.773013871,0.773013871
370,0.778058008,0.778058008,0.778058008
371,0.775535939,0.775535939,0.775535939
372,0.771752837,0.771752837,0.771752837
373,0.793190416,0.793190416,0.793190416
374,0.780580076,0.780580076,0.780580076
375,0.779319042,0.779319042,0.779319042
376,0.773013871,0.773013871,0.773013871
377,0.775535939,0.775535939,0.775535939
378,0.761664565,0.761664565,0.761664565
379,0.775535939,0.775535939,0.775535939
380,0.761664565,0.761664565,0.761664565
381,0.779319042,0.779319042,0.779319042
382,0.779319042,0.779319042,0.779319042
383,0.778058008,0.778058008,0.778058008
384,0.783102144,0.783102144,0.783102144
385,0.778058008,0.778058008,0.778058008
386,0.775535939,0.775535939,0.775535939
387,0.793190416,0.793190416,0.793190416
388,0.774274905,0.774274905,0.774274905
389,0.767969735,0.767969735,0.767969735
390,0.776796974,0.776796974,0.776796974
391,0.78184111,0.78184111,0.78184111
392,0.780580076,0.780580076,0.780580076
393,0.775535939,0.775535939,0.775535939
394,0.784363178,0.784363178,0.784363178
395,0.779319042,0.779319042,0.779319042
396,0.78814628,0.78814628,0.78814628
397,0.786885246,0.786885246,0.786885246
398,0.786885246,0.786885246,0.786885246
399,0.789407314,0.789407314,0.789407314
400,0.771752837,0.771752837,0.771752837
401,0.760403531,0.760403531,0.760403531
402,0.780580076,0.780580076,0.780580076
403,0.765447667,0.765447667,0.765447667
404,0.769230769,0.769230769,0.769230769
405,0.773013871,0.773013871,0.773013871
406,0.778058008,0.778058008,0.778058008
407,0.769230769,0.769230769,0.769230769
408,0.778058008,0.778058008,0.778058008
409,0.783102144,0.783102144,0.783102144
410,0.785624212,0.785624212,0.785624212
411,0.784363178,0.784363178,0.784363178
412,0.795712484,0.795712484,0.795712484
413,0.774274905,0.774274905,0.774274905
414,0.775535939,0.775535939,0.775535939
415,0.778058008,0.778058008,0.778058008
416,0.774274905,0.774274905,0.774274905
417,0.771752837,0.771752837,0.771752837
418,0.785624212,0.785624212,0.785624212
419,0.773013871,0.773013871,0.773013871
420,0.789407314,0.789407314,0.789407314
421,0.766708701,0.766708701,0.766708701
422,0.764186633,0.764186633,0.764186633
423,0.783102144,0.783102144,0.783102144
424,0.78814628,0.78814628,0.78814628
425,0.779319042,0.779319042,0.779319042
426,0.78184111,0.78184111,0.78184111
427,0.776796974,0.776796974,0.776796974
428,0.791929382,0.791929382,0.791929382
429,0.791929382,0.791929382,0.791929382
430,0.775535939,0.775535939,0.775535939
431,0.779319042,0.779319042,0.779319042
432,0.761664565,0.761664565,0.761664565
433,0.78184111,0.78184111,0.78184111
434,0.770491803,0.770491803,0.770491803
435,0.762925599,0.762925599,0.762925599
436,0.765447667,0.765447667,0.765447667
437,0.771752837,0.771752837,0.771752837
438,0.770491803,0.770491803,0.770491803
439,0.775535939,0.775535939,0.775535939
440,0.783102144,0.783102144,0.783102144
441,0.764186633,0.764186633,0.764186633
442,0.78184111,0.78184111,0.78184111
443,0.773013871,0.773013871,0.773013871
444,0.770491803,0.770491803,0.770491803
445,0.770491803,0.770491803,0.770491803
446,0.761664565,0.761664565,0.761664565
447,0.765447667,0.765447667,0.765447667
448,0.754098361,0.754098361,0.754098361
449,0.765447667,0.765447667,0.765447667
450,0.793190416,0.793190416,0.793190416
451,0.775535939,0.775535939,0.775535939
452,0.766708701,0.766708701,0.766708701
453,0.780580076,0.780580076,0.780580076
454,0.761664565,0.761664565,0.761664565
455,0.78814628,0.78814628,0.78814628
456,0.783102144,0.783102144,0.783102144
457,0.773013871,0.773013871,0.773013871
458,0.769230769,0.769230769,0.769230769
459,0.779319042,0.779319042,0.779319042
460,0.78184111,0.78184111,0.78184111
461,0.793190416,0.793190416,0.793190416
462,0.775535939,0.775535939,0.775535939
463,0.789407314,0.789407314,0.789407314
464,0.786885246,0.786885246,0.786885246
465,0.770491803,0.770491803,0.770491803
466,0.766708701,0.766708701,0.766708701
467,0.775535939,0.775535939,0.775535939
468,0.786885246,0.786885246,0.786885246
469,0.771752837,0.771752837,0.771752837
470,0.778058008,0.778058008,0.778058008
471,0.770491803,0.770491803,0.770491803
472,0.762925599,0.762925599,0.762925599
473,0.786885246,0.786885246,0.786885246
474,0.779319042,0.779319042,0.779319042
475,0.769230769,0.769230769,0.769230769
476,0.785624212,0.785624212,0.785624212
477,0.783102144,0.783102144,0.783102144
478,0.78184111,0.78184111,0.78184111
479,0.774274905,0.774274905,0.774274905
480,0.769230769,0.769230769,0.769230769
481,0.779319042,0.779319042,0.779319042
482,0.757881463,0.757881463,0.757881463
483,0.783102144,0.783102144,0.783102144
484,0.78814628,0.78814628,0.78814628
485,0.791929382,0.791929382,0.791929382
486,0.766708701,0.766708701,0.766708701
487,0.790668348,0.790668348,0.790668348
488,0.775535939,0.775535939,0.775535939
489,0.789407314,0.789407314,0.789407314
490,0.785624212,0.785624212,0.785624212
491,0.783102144,0.783102144,0.783102144
492,0.774274905,0.774274905,0.774274905
493,0.784363178,0.784363178,0.784363178
494,0.775535939,0.775535939,0.775535939
495,0.790668348,0.790668348,0.790668348
496,0.78814628,0.78814628,0.78814628
497,0.769230769,0.769230769,0.769230769
498,0.757881463,0.757881463,0.757881463
499,0.789407314,0.789407314,0.789407314
